zip_code,distance_min,count_within_20,count_within_60,count_within_100
01010,4.980326343247309,12,169,462
01011,15.050347954266561,7,137,543
01012,9.990079743530265,8,128,457
01013,2.1724346885071455,22,133,557
01020,0.5752554759577824,22,133,534
01022,2.1009782283611096,20,132,520
01026,13.196164321071334,7,122,417
01027,4.524163644886244,12,135,497
01028,4.239111376399003,22,157,577
01029,15.297999857867355,6,158,650
01030,1.8365786483598068,26,147,647
01031,11.302229434547389,6,141,402
01032,10.890705326272679,10,119,418
01033,5.995117874575201,18,130,479
01034,8.111389675251704,18,172,729
01035,2.8746606231342025,15,124,439
01036,6.1145077794757805,20,164,544
01037,14.179228374921667,7,133,390
01038,4.372185232578632,15,124,434
01039,5.412712595245106,13,123,425
01040,0.09033959234866311,20,133,528
01050,10.242153927152096,11,133,533
01053,2.864917451132447,14,129,457
01054,5.674248179591822,10,108,388
01056,5.877702920754367,21,139,500
01057,0.9356797173479187,18,165,500
01060,2.2889914709258203,14,129,461
01062,1.419217932431858,12,132,473
01063,1.9178558811795956,14,129,462
01066,5.632107402180701,13,125,420
01068,13.31808789664752,8,144,374
01069,0.24230874681497483,16,148,464
01070,10.819931475274114,8,119,400
01071,6.232650667488218,17,149,646
01072,7.644754661775098,10,114,393
01073,4.439065513615453,17,134,543
01074,14.639734982269532,8,142,371
01075,4.356384282237452,17,131,492
01077,4.290919360706769,25,151,714
01079,0.9847507096541465,18,144,466
01080,2.5935562570942854,19,146,471
01081,4.456905725332315,18,168,490
01082,7.832032751203398,8,135,423
01083,6.071313432211621,9,150,441
01084,11.562441247338151,9,130,452
01085,1.322709117395006,19,142,616
01086,2.0176018923215935,22,146,647
01088,4.7170958399426075,14,126,426
01089,0.030892101759458456,23,145,590
01092,3.91133884547365,11,153,449
01093,4.299588776144045,11,120,411
01094,14.768004008826662,8,139,386
01095,6.3071443487552346,22,154,515
01096,6.669650356524912,13,125,435
01097,4.795682648472576,14,141,618
01098,14.522893568853918,6,133,447
01103,2.8117059484557303,25,144,588
01104,1.843866169120171,24,141,558
01105,2.3766317775546817,25,143,584
01106,2.45964947405129,26,153,614
01107,2.240525947374694,25,142,584
01108,2.6399403410433484,25,150,587
01109,0.599264281887746,24,144,557
01118,1.6192992933917971,24,151,567
01119,1.5940647076975323,23,145,541
01128,3.0439810902896847,25,154,553
01129,2.6450482278121696,24,151,536
01151,2.9549761665437377,23,140,534
01199,2.3775209998062907,25,142,583
01201,0.7171525897127092,6,136,415
01220,4.1824077794742545,5,119,357
01222,1.7365992339926106,11,205,826
01223,12.32439539186905,2,148,524
01224,5.379946667002533,3,135,396
01225,8.559336717028422,3,120,381
01226,6.7237050899995285,4,132,410
01229,2.554761657864879,9,164,563
01230,5.569717372150407,11,177,722
01235,10.254481226255207,3,139,432
01236,1.4711930544294074,13,168,577
01237,5.979337842581853,5,132,387
01238,7.579130385365821,4,160,547
01240,5.806363248291365,3,149,466
01242,8.162809399053371,3,153,505
01243,13.978294109676984,4,139,486
01244,6.922630082473191,10,179,779
01245,8.331758196124406,10,172,688
01247,1.9120240498967993,8,109,330
01253,13.117374454335835,6,165,644
01254,7.208707997214569,8,152,457
01255,12.083003590281267,10,171,757
01256,7.866329336077059,4,117,375
01257,3.9298744089118958,11,200,814
01258,3.2647169802050646,14,202,796
01259,5.769550760467969,12,189,809
01260,3.4026745782535417,11,164,546
01262,3.7367053328631203,9,163,551
01264,8.299200985285289,6,165,614
01266,4.582935917464174,14,163,522
01267,6.6987964290795565,9,112,341
01270,12.460509181340127,3,118,401
01301,0.8942718669256441,9,102,373
01330,7.518288058756908,11,116,404
01331,6.5106143137038694,6,116,344
01337,5.2633283683344185,8,92,354
01338,4.733603600379527,8,110,383
01339,7.459092062539722,6,113,375
01340,6.323898591150275,7,96,352
01341,5.9457618680798925,10,115,401
01342,4.507826218912797,9,108,381
01343,7.251763174364687,5,114,355
01344,4.114873950870689,10,97,362
01346,7.204453629939379,8,107,343
01347,1.9188364706686114,8,100,382
01349,1.2335654623443286,8,98,379
01350,7.321914581902986,6,105,320
01351,3.095880583763177,8,101,381
01354,3.079669380791845,10,97,371
01355,11.252999856834801,10,113,387
01360,7.037924338344264,8,87,348
01364,10.381090444524355,10,105,351
01366,10.691321355111352,6,127,364
01367,8.401110436856985,6,111,333
01368,7.2365629048652815,7,100,336
01370,1.2253084555498694,10,110,375
01373,1.093577073874611,10,118,393
01375,2.6047357062088268,10,112,394
01376,0.1954709275179535,10,100,378
01378,9.63360280889262,9,89,347
01379,4.632306647969855,8,105,374
01420,0.437887585769832,9,128,322
01430,3.0781397625239397,8,117,326
01431,5.936568958644463,9,117,310
01432,2.81520885287242,15,123,306
01434,0.30440962942491484,17,129,307
01436,0.5422822795654189,5,116,335
01438,2.749725465191561,6,128,339
01440,0.26679662624542955,7,125,333
01450,3.7116250234681982,14,122,303
01451,3.7413300003327588,16,129,306
01452,6.221435090969797,7,134,345
01453,0.4327479962907316,12,137,320
01460,0.9135558338741463,18,122,304
01462,4.888556673086977,12,128,308
01463,2.037264265677234,11,115,301
01464,2.4587540253465603,12,125,304
01467,3.7583038492396135,17,131,310
01468,4.3119048365039205,5,129,342
01469,6.7017410147783405,12,117,296
01473,4.418601975593173,8,128,332
01474,6.29369444762371,11,117,306
01475,4.5013877266857145,6,106,331
01501,5.31112187626293,13,170,358
01503,4.679867329955066,14,144,326
01504,3.185089910988473,25,178,330
01505,5.810136476142907,13,146,337
01506,4.010736985292532,9,166,418
01507,6.098357137793598,12,179,394
01510,1.7570423597218585,14,143,330
01515,6.9585052087540635,9,162,388
01516,2.682921801278654,21,186,360
01518,0.6156005837472114,10,174,440
01519,6.15491010349944,16,172,344
01520,5.049907443557236,12,147,359
01521,6.400937436329153,15,173,477
01522,7.870147470977648,10,146,353
01523,3.3019925258660177,14,138,317
01524,5.8851690766755365,8,161,365
01525,2.039815236565854,20,177,340
01527,5.619608962531625,14,174,353
01529,4.773169246286056,27,180,334
01531,13.152656481888375,8,142,392
01532,5.400329762821795,13,152,335
01534,2.303407422314576,20,177,343
01535,10.226349545128024,6,151,386
01536,6.49983906354329,14,165,345
01537,8.954527542418763,10,179,369
01540,7.927412508113865,12,183,372
01541,7.104834471550938,9,139,342
01542,6.909888375283294,9,171,369
01543,11.614611118839115,8,143,358
01545,4.901256994644215,11,154,346
01550,0.04609515294775076,16,182,430
01560,4.205275094825113,18,177,344
01561,0.5653140859941143,14,141,325
01562,9.568322325287765,9,159,371
01564,4.358740709533964,14,143,328
01566,2.0133543715303417,11,182,434
01568,5.430214954721443,17,171,337
01569,4.4318569439776985,25,181,341
01570,5.134077837807371,17,187,385
01571,2.9748123901710124,14,185,398
01581,4.684890587026849,15,161,334
01583,6.678606122915358,12,143,341
01585,8.424616863276125,7,150,417
01588,0.346558138275221,20,177,342
01590,4.222186817626229,17,179,352
01602,2.1973557083158233,11,156,363
01603,2.595045568182139,11,162,360
01604,2.361809263587674,12,165,350
01605,1.6778416296094105,9,154,355
01606,3.1508542249416984,10,150,353
01607,3.2240629658559103,13,167,352
01608,0.674348444432865,12,161,352
01609,1.516272344526225,10,153,358
01610,1.6187845815043507,12,163,354
01611,4.158184894125431,10,164,362
01612,6.466122451111845,9,149,363
01701,0.8246616893051679,22,145,309
01702,1.8029283320395275,21,149,310
01718,2.4576204858714963,25,122,302
01719,4.197597070224723,19,124,302
01720,2.8501632014229705,23,123,300
01721,2.695418000399703,19,154,316
01730,2.842184050838389,30,122,288
01731,0.10021679286868296,30,127,291
01740,4.610804762952663,16,138,314
01741,5.686468296944866,28,117,293
01742,2.135955382376972,26,128,297
01745,1.7814166831664353,17,154,318
01746,5.519706266764749,19,157,317
01747,6.675237858286196,23,174,328
01748,3.48470130717737,16,162,326
01749,2.7385986257471577,19,141,318
01752,0.025953992581350338,17,148,321
01754,3.233752128761898,21,131,304
01756,6.5459431289138745,25,174,330
01757,7.553026978614178,22,169,330
01760,3.082297438010139,28,144,299
01770,4.731397395638509,23,149,306
01772,2.1303406792616304,18,159,320
01773,2.7726788618351974,29,128,290
01775,5.778466081619322,20,128,309
01776,4.8081494888334095,24,133,305
01778,1.8956544068305001,28,133,296
01801,0.12452181675557215,28,122,278
01803,2.656200430664705,28,120,285
01810,3.6072757555732924,26,104,273
01821,1.4239226462180499,31,112,286
01824,3.733839207235982,25,110,293
01826,3.014466202951778,15,107,283
01827,3.3298202987314403,14,114,294
01830,1.9170622113083444,10,91,254
01832,2.380606387114103,12,91,254
01833,6.6078507303458665,16,94,252
01834,4.166348346739235,15,93,254
01835,2.2722269489454328,14,95,254
01840,0.4599242563210303,19,99,263
01841,0.8168799147524103,17,101,261
01843,0.7206371705050082,18,102,266
01844,0.7922827019543371,11,99,260
01845,4.060659861875687,21,100,257
01850,1.5095530880057069,18,107,286
01851,1.0336983350053803,19,109,292
01852,1.3908058858354808,23,106,286
01854,1.536556023936549,16,108,292
01860,3.564676290578353,8,85,248
01862,4.373651791974273,27,110,288
01863,3.4719309390997726,14,110,296
01864,6.503804852252427,26,105,275
01867,4.163750249461564,27,115,278
01876,5.14984023680681,26,105,282
01879,5.810113989480929,13,112,296
01880,3.1993725795910883,27,122,276
01886,3.8491204856694177,19,118,296
01887,4.150581110346613,27,107,281
01890,2.411563689344094,30,126,280
01901,1.578662787716702,26,121,264
01902,1.351125900169024,25,120,264
01904,1.0776749298560977,25,119,266
01905,0.9540152791764206,25,121,269
01906,2.4670484175926726,27,123,274
01907,2.685300335267432,25,118,262
01908,3.9975226215782778,26,122,261
01913,0.5814047022292594,8,84,236
01915,0.30563235229108615,21,102,248
01921,6.996522980003602,21,97,256
01922,4.033152524181473,12,88,248
01923,3.0214687693723015,26,108,257
01929,4.270206111734496,12,90,230
01930,0.5812890745013088,7,86,218
01937,3.6533650067909575,26,104,260
01938,8.055361275272793,13,91,239
01940,3.3660800482335067,27,113,272
01944,4.909964903885272,12,97,238
01945,2.33921627410223,19,114,254
01949,5.408061366631671,25,102,261
01950,0.1674806097033736,11,85,237
01951,3.304093203813799,12,84,238
01952,2.9350784179116385,12,81,225
01960,0.14405616748814695,27,111,263
01966,3.6822291255479973,6,82,212
01969,6.320228247540856,12,91,246
01970,1.7782856550812034,20,112,254
01982,4.021623509760156,19,94,247
01983,6.520393473173731,23,97,254
01984,2.480584146489904,22,100,250
01985,3.8236070595863434,10,88,247
02019,3.3146856694567575,25,172,322
02021,3.6726830646268884,31,149,286
02025,3.028199737602528,24,139,243
02026,6.034398085979304,30,147,284
02030,5.783460484818068,32,146,299
02032,7.118415835295511,31,155,295
02035,3.038273888002338,26,162,302
02038,0.09991877349691425,28,170,316
02043,3.567938176744244,25,142,254
02045,5.592878407502466,27,145,256
02047,2.529209675568567,13,132,226
02048,0.3678553578196103,26,168,295
02050,2.55895998121788,14,132,231
02052,2.8670514291195772,29,155,300
02053,3.9447712315055368,24,160,318
02054,0.7477809079663206,27,154,308
02056,3.634110674513348,29,162,307
02061,4.2829886362190726,18,139,246
02062,7.3228347433473715,30,151,292
02066,0.767887740589106,16,135,238
02067,6.161034661231615,29,159,294
02071,5.931196754314503,27,160,303
02072,4.795414241982405,30,152,288
02081,4.506067936720607,30,159,300
02090,7.738866540005362,30,149,292
02093,3.632271643552887,28,168,310
02108,2.8719714976360113,30,131,272
02109,2.062558043525,28,130,272
02110,2.4710215143220275,28,132,271
02111,2.5497264531978345,30,133,271
02113,2.4093928944021705,29,131,272
02114,2.535451219638494,29,129,274
02115,1.6624257281904382,29,133,277
02116,2.2333067928300414,30,133,274
02118,1.484380058572779,30,137,272
02119,0.3615455242693346,29,137,275
02120,1.102602601886053,29,135,276
02121,0.8675945699175803,29,140,275
02122,2.8812509317470223,29,142,270
02124,2.388104806547521,31,141,273
02125,1.5033020925639176,28,141,273
02126,3.145872266773451,30,142,275
02127,2.5848183778399965,28,138,269
02128,1.4925751534971325,27,133,268
02129,1.8592418489556566,28,129,274
02130,1.6383887935244488,29,138,276
02131,3.1951114589866245,30,141,276
02132,4.258301390779304,30,140,277
02134,1.3384307227683188,29,131,279
02135,1.845207933131293,29,130,281
02136,4.956815447747149,30,145,279
02138,0.8903546147782723,28,130,281
02139,1.181326878375056,29,131,277
02140,1.3739901528415668,30,129,282
02141,1.7093155055652958,29,129,275
02142,2.1190885799682104,30,130,275
02143,0.6894879059651352,28,129,277
02144,1.247202050339518,28,128,280
02145,0.585226930562164,27,129,277
02148,0.09578325183011586,28,125,273
02149,0.03278664929494251,27,128,274
02150,0.0868390514910419,27,128,271
02151,0.1355622413105704,26,125,269
02152,0.5256156039044875,27,131,265
02155,0.060667785290941884,29,128,276
02163,0.7144193261843,28,131,279
02169,0.8509649433639219,29,147,267
02170,1.0320380821682875,29,146,269
02171,2.880045653036905,29,143,268
02176,0.008545220666768947,28,125,272
02180,2.3567078719061128,28,123,274
02184,0.15803826284086483,28,151,268
02186,3.3612856290023823,30,148,273
02188,0.7123042470778027,28,151,265
02189,1.2291934956777129,25,147,258
02190,2.2057216370716466,28,151,262
02191,3.118390766713447,25,148,261
02199,1.9836221368033435,30,134,274
02203,2.782678259261072,29,130,272
02210,3.050440682415848,28,135,270
02215,2.104500657114016,30,131,277
02301,0.9657670106379971,25,156,276
02302,1.4083876995817197,24,152,272
02322,3.1292855239264923,28,151,279
02324,0.20160686436605338,23,152,271
02330,5.894223343420823,28,131,238
02332,1.828961552894486,16,134,224
02333,4.747797311913989,20,149,264
02338,6.084486266371907,23,145,256
02339,4.150085151716109,20,144,251
02341,5.514471647105128,20,147,253
02343,3.8683330706012646,28,153,266
02346,3.139568885086288,30,144,259
02347,2.065166667886004,29,149,271
02351,4.180097991275094,23,152,266
02356,5.130033553307002,25,156,286
02357,3.45423168462349,24,156,282
02359,2.4607363055281315,18,142,247
02360,1.6683631269712533,25,124,219
02364,2.940509077007183,23,135,237
02366,3.8265425760438103,27,127,221
02367,5.97573427525941,27,142,246
02368,0.15161090925505577,29,151,276
02370,5.044041381926208,21,149,260
02375,5.349391571257542,24,157,281
02379,4.176445086718305,22,153,276
02382,4.365934356257195,19,150,265
02420,3.2636513115702943,29,127,286
02421,2.442160023971875,29,130,288
02445,2.6246742257268827,28,131,280
02446,2.244581799818424,28,130,278
02451,0.9217265461433443,30,128,288
02452,1.4728571498340717,31,128,283
02453,1.3392598502038409,31,130,286
02457,4.035413155802259,30,135,293
02458,1.260499189195714,30,132,281
02459,1.4355201482292514,30,133,282
02460,1.3958982791856869,30,132,283
02461,0.9880124330327171,30,133,284
02462,2.435741502520833,29,134,286
02464,1.3911730129512607,30,132,285
02465,1.5037860061506856,29,132,285
02466,2.237778178359264,30,132,286
02467,3.0932365453836805,29,135,280
02468,1.0973751083281045,30,133,286
02472,0.046453417981237595,31,132,281
02474,2.4436777346422662,30,127,281
02476,3.151222330855805,32,128,284
02478,1.7536598085528776,31,129,283
02481,3.6909720532074637,29,135,292
02482,3.9110249811573734,29,139,298
02492,4.210400827680055,30,139,292
02493,3.524181237026229,29,129,288
02494,2.534912276053663,30,134,288
02532,0.8260097702864484,35,119,215
02534,1.295212007825905,33,114,217
02535,11.471885327373665,5,97,221
02536,1.8704141503017495,32,95,213
02537,0.5645325348421001,37,103,194
02538,1.113267084605457,34,124,220
02539,7.001509535752307,14,81,195
02540,1.8912954616290096,31,101,218
02542,2.5097045387745296,34,108,207
02543,6.519839920249885,25,107,231
02553,0.8864485653110284,35,117,218
02554,4.833164983258242,2,53,141
02556,0.07696636817817275,33,111,217
02557,1.895183394089336,18,89,207
02558,0.7238816781936884,35,123,225
02559,0.268067560841093,34,115,218
02561,1.2643112296301724,34,113,205
02562,0.39403405723253243,33,113,203
02563,2.269086956634229,36,104,197
02564,0.8758815398974338,2,47,119
02568,0.32721748426010094,20,95,213
02571,1.417083496301528,35,127,232
02575,4.671311592992281,15,95,214
02576,1.293887604186483,36,135,243
02584,1.8791539695293813,2,47,119
02601,2.527155231875321,30,80,179
02630,3.4209271222102364,34,82,181
02631,3.1923851196486015,15,66,158
02632,1.1277962014584395,34,83,182
02633,1.1790248182461602,13,60,145
02635,1.6475685829166227,37,88,187
02637,2.3575309021625213,31,81,179
02638,2.023501510716883,24,72,172
02639,0.06605924728894898,21,66,160
02641,0.8595920262744939,19,68,166
02642,1.3232526998402483,13,63,155
02643,4.933628933137631,13,59,143
02644,0.15423494063605397,35,102,197
02645,1.2433640237145982,15,64,155
02646,0.3980429733733096,15,63,156
02647,3.453211647229466,32,80,178
02648,2.8715964818032,38,91,188
02649,1.259941837041783,35,91,193
02650,2.1623276261183575,13,59,143
02651,1.499122417092505,12,65,155
02652,14.418600166987146,1,83,170
02653,5.240201635306182,13,62,147
02655,3.4748664737535373,36,86,183
02657,17.664021265095105,1,91,179
02659,1.6432499198532808,14,62,149
02660,0.30878321288118343,21,70,168
02663,2.9084826046504926,12,66,158
02664,0.4566502604917751,25,72,171
02666,9.77766061647664,3,75,164
02667,4.895284253928499,12,68,161
02668,3.0416691614317677,35,90,186
02669,0.9531192967864336,14,60,147
02670,0.5197968400108428,23,70,166
02671,1.1990734174441042,18,66,158
02672,3.4756078148468332,33,80,179
02673,0.42343281627332796,29,74,174
02675,0.5156845259853556,26,75,175
02702,5.39276526436696,28,161,285
02703,0.045964390492429175,28,172,303
02713,11.512559014823676,12,119,250
02715,5.987340914809804,26,165,294
02717,6.213305853881983,24,150,273
02718,3.6421039259425583,30,154,279
02719,3.9821742511690763,29,135,252
02720,1.2235522147873665,28,164,289
02721,3.227859038331427,23,163,292
02723,2.0605134694767173,25,162,291
02724,3.4756908121752517,25,164,300
02725,1.2442235831497452,25,163,300
02726,3.881177360608935,27,165,294
02738,0.5533585590189487,36,131,238
02739,0.4766409899890423,34,133,245
02740,2.2231757276599886,25,145,265
02743,2.30907590669993,28,143,261
02744,1.4757448893473604,25,137,257
02745,2.1791486453217392,25,148,267
02746,0.6163678651994747,26,145,265
02747,1.9257547339907808,19,153,278
02748,3.917783162105982,18,142,265
02760,0.1841819375896995,27,170,309
02762,2.9647533746983865,27,170,307
02763,1.3516771581301525,26,172,304
02764,4.698099423248118,25,168,295
02766,0.5345674811812545,24,165,292
02767,0.6365826018258479,27,156,282
02769,5.223431712442064,28,170,305
02770,4.780758010205162,32,140,250
02771,3.0367245991466376,27,167,317
02777,2.087107642992705,29,166,304
02779,4.604411175052494,28,161,286
02780,1.2967816907818546,25,161,288
02790,3.814364212149267,14,153,285
02791,8.72721687185354,11,143,284
02802,1.4980139483963892,26,179,330
02804,1.0185749857690867,29,163,434
02806,5.303502473598625,24,165,320
02807,13.389971250387227,8,132,385
02808,0.984370113730487,26,159,427
02809,4.884654714335351,23,159,314
02812,1.1793561088140307,23,162,393
02813,3.8979901438244484,21,155,404
02814,2.0699969282016992,30,193,368
02815,1.936427614962919,27,187,370
02816,5.755871308797966,27,189,373
02817,5.138270506738808,25,177,390
02818,5.138236720546692,23,175,352
02822,5.068361175407247,25,178,383
02825,0.6163002405445819,28,196,385
02826,1.552901771404344,27,186,349
02827,0.2699152854718796,24,184,399
02828,0.49036656241157345,28,188,347
02830,1.3416772700448447,27,188,350
02831,3.365127645979733,27,184,361
02832,0.49979459686131755,29,168,411
02833,2.920163002586911,33,166,424
02835,3.638760809831538,13,159,341
02836,2.0598669542025303,21,159,389
02837,6.25623680426038,14,143,299
02838,1.2814938938097482,25,179,331
02839,2.42153789514837,30,187,353
02840,0.17364733035739924,12,149,331
02841,2.260943913029761,14,155,332
02842,0.3740474023230548,13,148,320
02852,8.23271117681139,18,170,350
02857,4.33131841451458,28,186,364
02858,1.3418996778647592,28,186,351
02859,2.7874570445403344,25,189,372
02860,0.7876984937791057,26,169,323
02861,1.129781327419363,26,169,320
02863,0.006079376991787462,27,171,322
02864,1.690094596594188,27,177,325
02865,3.014949628474306,27,178,329
02871,2.684715865538167,17,152,315
02872,2.9553881446453962,18,161,326
02873,3.377559607965497,34,172,425
02874,3.415090042565739,16,164,357
02875,1.1005937021613466,20,160,393
02876,4.461505003074111,27,178,339
02878,5.630001665619618,18,157,302
02879,2.327536089220853,16,156,371
02881,0.301207707219362,18,165,365
02882,0.7628094225271148,15,157,360
02885,2.541832925553814,25,165,311
02886,1.1579120457082135,29,175,342
02888,3.1907839571929384,27,169,328
02889,2.9462930175960604,25,167,328
02891,2.0375383624951238,26,158,453
02892,3.9457007316627126,21,171,380
02893,4.7943833277003725,25,184,353
02894,2.634811478254171,26,162,411
02895,0.05908077044480314,25,183,330
02896,2.9134262058315454,26,177,337
02898,1.1478572960211113,27,169,397
02903,0.5954940671116821,28,168,327
02904,2.6021689368834022,26,174,331
02905,2.538060099952597,28,168,325
02906,1.8805968053076925,26,168,325
02907,1.712061873048448,28,170,332
02908,1.4901775459730668,26,174,331
02909,1.7944507075436955,27,178,333
02910,2.6654738433037366,27,172,333
02911,3.5556866044245394,26,178,332
02912,0.868396869965932,29,168,327
02914,0.7637611524622769,28,166,323
02915,2.3241525273509445,26,165,322
02916,2.4638593506285673,28,167,321
02917,2.4211267128741523,27,186,343
02919,4.052654483523305,27,183,341
02920,1.048724002282108,24,176,338
02921,1.5358332771762082,26,177,343
03031,5.9413444430539935,7,97,260
03032,4.0258497991064575,7,89,231
03033,8.131202924372495,11,110,285
03034,4.590096188713832,6,85,225
03036,9.2802563929287,8,84,226
03037,10.350367958701755,8,82,196
03038,10.350991433761628,11,85,251
03042,13.719429702769663,14,84,205
03043,15.237762410447944,4,91,250
03044,13.486903464852807,12,83,213
03045,2.7425209823513366,8,93,229
03046,8.015373913187238,7,92,218
03047,18.297015001135524,1,95,267
03048,10.822753675749192,9,111,296
03049,4.8026169832007035,10,108,285
03051,4.2250888810345355,13,102,279
03052,1.6499193598847601,10,94,256
03053,4.913924039880509,11,91,252
03054,2.0943884408488027,8,94,252
03055,10.181152488152446,9,104,268
03057,11.003022676263646,7,99,258
03060,1.7548283354711562,12,112,284
03062,1.9194841536117746,14,114,290
03063,2.6694460857709905,11,107,274
03064,2.2444439021539773,12,105,275
03070,8.243202075265302,8,98,240
03071,9.706018794703457,8,103,310
03076,6.40478271016634,14,107,278
03077,11.16927583338327,8,82,213
03079,4.101115178603993,12,93,261
03082,14.5759165962061,6,98,266
03084,15.042850458014108,5,98,298
03086,14.202894056547379,7,99,278
03087,7.861405809327456,12,89,262
03101,1.123613923621285,7,91,235
03102,1.5188333860964591,8,90,231
03103,2.3415829224492306,7,90,240
03104,1.726701420132436,7,90,230
