ZIP,LAT,LONG
1258,42.09092,-73.470197
1259,42.06926,-73.228949
1260,42.261673,-73.27516
1262,42.310055,-73.324468
1264,42.234822,-73.197083
1266,42.312354,-73.388044
1267,42.671617,-73.246981
1270,42.519837,-73.04969
1301,42.626761,-72.60153
1330,42.513947,-72.821517
1331,42.570237,-72.182903
1337,42.689307,-72.582289
1338,42.575889,-72.80665
1339,42.61045,-72.887735
1340,42.68553,-72.731135
1341,42.507177,-72.701525
1342,42.543889,-72.609458
1343,42.64773,-72.969767
1344,42.613418,-72.426428
1346,42.658496,-72.806057
1347,42.563223,-72.509775
1349,42.56746,-72.467542
1350,42.727772,-72.985346
1351,42.53988,-72.521689
1354,42.624101,-72.508607
1355,42.458551,-72.327191
1360,42.677091,-72.453876
1364,42.605437,-72.292074
1366,42.491583,-72.180876
1367,42.692882,-72.919244
1368,42.676687,-72.184052
1370,42.593376,-72.726928
1373,42.475481,-72.615403
1375,42.466691,-72.546751
1376,42.591441,-72.544674
1378,42.679971,-72.339882
1379,42.527853,-72.398403
1380,42.588496,-72.406298
1420,42.584925,-71.816862
1430,42.673052,-71.920335
1431,42.676293,-71.832523
1432,42.566588,-71.575126
1434,42.53206,-71.61374
1436,42.602059,-72.087015
1438,42.561088,-72.036074
1440,42.588337,-71.986069
1450,42.611636,-71.564743
1451,42.501908,-71.568201
1452,42.495111,-72.002339
1453,42.519967,-71.763319
1460,42.535931,-71.490569
1462,42.582607,-71.720464
1463,42.670643,-71.602858
1464,42.573654,-71.640986
1468,42.542767,-72.068345
1469,42.664794,-71.695055
1473,42.5546,-71.90544
1474,42.673143,-71.748378
1475,42.66816,-72.055644
1501,42.198867,-71.845722
1503,42.384929,-71.633889
1504,42.039991,-71.532406
1505,42.355049,-71.716157
1506,42.180807,-72.107888
1507,42.133935,-71.968025
1510,42.411887,-71.690005
1515,42.209682,-72.040178
1516,42.053072,-71.752241
1518,42.108325,-72.113692
1519,42.203404,-71.679739
1520,42.334177,-71.854277
1521,42.046783,-72.180212
1522,42.375634,-71.867382
1523,42.483569,-71.675585
1524,42.246029,-71.917566
1525,42.098995,-71.642964
1527,42.192246,-71.777649
