concept_id,condition_count,patient_count
35153803,20,20
35153944,20,20
35154104,20,20
35154176,20,20
35154261,20,20
35154318,20,20
35154428,20,20
35154462,20,20
35154661,20,20
35154982,20,20
35155003,20,20
35155085,20,20
35155199,20,20
35155211,20,20
35155443,20,20
35155510,20,20
35155536,20,20
35155602,20,20
35155704,20,20
35155748,20,20
35155829,20,20
35155860,20,20
35156265,20,20
35156327,20,20
35156436,20,20
35156582,20,20
35156719,20,20
35156751,20,20
35156761,20,20
35156948,20,20
35157100,20,20
35157247,20,20
35157265,20,20
35157286,20,20
35157390,20,20
35157438,20,20
35157480,20,20
35157498,20,20
35157532,20,20
35157604,20,20
35157768,20,20
35157838,20,20
35158103,20,20
35158130,20,20
35158211,20,20
35158252,20,20
35158255,20,20
35158484,20,20
35158592,20,20
35158695,20,20
35158697,20,20
35158820,20,20
35158914,20,20
35158956,20,20
35159131,20,20
35159502,20,20
35159719,20,20
35159764,20,20
35159785,20,20
35159786,20,20
35159807,20,20
35159840,20,20
35160046,20,20
35160085,20,20
35160265,20,20
35160730,20,20
35160817,20,20
35160865,20,20
35160969,20,20
35161187,20,20
35626872,20,20
35626873,20,20
35626874,20,20
35626875,20,20
35626876,20,20
35626877,20,20
35626878,20,20
35626889,20,20
35626890,20,20
35626891,20,20
35626892,20,20
35626893,20,20
35626894,20,20
35742117,20,20
35742190,20,20
35742367,20,20
35742712,20,20
35742713,20,20
35742714,20,20
35742715,20,20
35742716,20,20
35742871,20,20
35742872,20,20
35742873,20,20
35742875,20,20
35742876,20,20
35742877,20,20
35743077,20,20
35743244,20,20
35743245,20,20
35744201,20,20
35744203,20,20
35745021,20,20
35745022,20,20
35745023,20,20
35745024,20,20
35745025,20,20
35745026,20,20
35745027,20,20
35745028,20,20
35745029,20,20
35745111,20,20
35745112,20,20
35745114,20,20
35745115,20,20
35745116,20,20
35745117,20,20
35745118,20,20
35745119,20,20
35745193,20,20
35745194,20,20
35745195,20,20
35745196,20,20
35745197,20,20
35745198,20,20
35745199,20,20
35745200,20,20
35745201,20,20
35745202,20,20
35745203,20,20
35745204,20,20
35745459,20,20
35745501,20,20
35745782,20,20
35745973,20,20
35746012,20,20
35746013,20,20
35746014,20,20
35746052,20,20
35746092,20,20
35746343,20,20
35746368,20,20
35746369,20,20
35746370,20,20
35746403,20,20
35746404,20,20
35746405,20,20
35746406,20,20
35746428,20,20
35746429,20,20
35746554,20,20
35746555,20,20
35746556,20,20
35746932,20,20
35746933,20,20
35746934,20,20
35746935,20,20
35747074,20,20
35747075,20,20
35747076,20,20
35747077,20,20
35747078,20,20
35747079,20,20
35747439,20,20
35747760,20,20
35748396,20,20
35748397,20,20
35748398,20,20
35748399,20,20
35748400,20,20
35748401,20,20
35749177,20,20
35749217,20,20
35749218,20,20
35749219,20,20
35749220,20,20
35749221,20,20
35749308,20,20
35749310,20,20
35749311,20,20
35749312,20,20
35749372,20,20
35749373,20,20
35749374,20,20
35749375,20,20
35749376,20,20
35749377,20,20
35749378,20,20
35749379,20,20
35749380,20,20
35749381,20,20
35749382,20,20
35749383,20,20
35749384,20,20
35749385,20,20
35749386,20,20
35749387,20,20
35749388,20,20
35749389,20,20
35749390,20,20
35749481,20,20
35749547,20,20
35749549,20,20
35749560,20,20
35749604,20,20
35749618,20,20
35749963,20,20
35749964,20,20
35749970,20,20
35750125,20,20
35750162,20,20
35750372,20,20
35750373,20,20
35750374,20,20
35750528,20,20
35750529,20,20
35750567,20,20
35750568,20,20
35750600,20,20
35750601,20,20
35750719,20,20
35750720,20,20
35751047,20,20
35751048,20,20
35751049,20,20
35751050,20,20
35751178,20,20
35751179,20,20
35751180,20,20
35751181,20,20
35751182,20,20
35751183,20,20
35752544,20,20
35753377,20,20
35753378,20,20
35753379,20,20
35753381,20,20
35753382,20,20
35753383,20,20
35753384,20,20
35753385,20,20
35753386,20,20
35753387,20,20
35753388,20,20
35753473,20,20
35753474,20,20
35753475,20,20
35753476,20,20
35753477,20,20
35753548,20,20
35753549,20,20
35753550,20,20
35753551,20,20
35753552,20,20
35753652,20,20
35753752,20,20
35753761,20,20
35753887,20,20
35753888,20,20
35753993,20,20
35753994,20,20
35754005,20,20
35754155,20,20
35754156,20,20
35754167,20,20
35754175,20,20
35754212,20,20
35754363,20,20
35754397,20,20
35754398,20,20
35754607,20,20
35754766,20,20
35754767,20,20
35754768,20,20
35754791,20,20
35754792,20,20
35754793,20,20
35754938,20,20
35754939,20,20
35754940,20,20
35755309,20,20
35755310,20,20
35755442,20,20
35755443,20,20
35755444,20,20
35755445,20,20
35755446,20,20
35756759,20,20
35757573,20,20
35757574,20,20
35757575,20,20
35757576,20,20
35757577,20,20
35757650,20,20
35757652,20,20
35757653,20,20
35757654,20,20
35757714,20,20
35757715,20,20
35757716,20,20
35757717,20,20
35757718,20,20
35757719,20,20
35757720,20,20
35757721,20,20
35757722,20,20
35757809,20,20
35757826,20,20
35757830,20,20
35757835,20,20
35758020,20,20
35758282,20,20
35758283,20,20
35758291,20,20
35758466,20,20
35758866,20,20
35758867,20,20
35758868,20,20
35758869,20,20
35758870,20,20
35758902,20,20
35758903,20,20
35758904,20,20
35759061,20,20
35759062,20,20
35759414,20,20
35759415,20,20
35759416,20,20
35759547,20,20
35759548,20,20
35759549,20,20
35759550,20,20
35760911,20,20
35761734,20,20
35761735,20,20
35761736,20,20
35761825,20,20
35761826,20,20
35761829,20,20
35761830,20,20
35761898,20,20
35761899,20,20
35761900,20,20
35761901,20,20
35761902,20,20
35761903,20,20
35761904,20,20
35761905,20,20
35761906,20,20
35761907,20,20
35761908,20,20
35761909,20,20
35761910,20,20
35762013,20,20
35762202,20,20
35762203,20,20
35762204,20,20
35762314,20,20
35762315,20,20
35762334,20,20
35762357,20,20
35762365,20,20
35762478,20,20
35762488,20,20
35762497,20,20
35762700,20,20
35762701,20,20
35762702,20,20
35762877,20,20
35762935,20,20
35763084,20,20
35763085,20,20
35763086,20,20
35763087,20,20
35763088,20,20
35763122,20,20
35763145,20,20
35763146,20,20
35763147,20,20
35763266,20,20
35763267,20,20
35763268,20,20
35763269,20,20
35763270,20,20
35763613,20,20
35763614,20,20
35763616,20,20
35763617,20,20
35763618,20,20
35763619,20,20
35763760,20,20
35763761,20,20
35763762,20,20
35763763,20,20
35763765,20,20
35764123,20,20
35765029,20,20
35765030,20,20
35765031,20,20
35765032,20,20
35765812,20,20
35765813,20,20
35765814,20,20
35765815,20,20
35765816,20,20
35765817,20,20
35765818,20,20
35765819,20,20
35765904,20,20
35765905,20,20
35765907,20,20
35765979,20,20
35765980,20,20
35765981,20,20
